player_name,first_name,last_name,football_name,player_team,nflreadpy_id,espn_id,headshot,position,status,jersey_number,birth_date,college_name
Alan Faneca,Alan,Faneca,,ARI,00-0005058,1459,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meyhtfvgyfanktcjjqjf",G,ACT,66,1976-12-07,LSU
Alani Fua,Alani,Fua,Alani,ARI,00-0031702,2513206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlq2f4zrors3crml6j0k",LB,CUT,59,1992-01-01,BYU
Alex Ellis,Alexander,Ellis,Alex,ARI,00-0032864,2577731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cnnffo0p74ph8slvtasw",TE,DEV,0,1993-02-10,Tennessee
Alex Shor,Alexander,Shor,,ARI,00-0023951,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mzw5ankogt2lyud98sh9",TE,DEV,0,1983-01-29,Syracuse
Ali Highsmith,Arlington,Highsmith,,ARI,00-0025932,11637,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/keihc3s3jkswitkngd76",ILB,DEV,95,1985-01-20,LSU
Allen DeGraffenreid,Lloyd,DeGraffenreid,,ARI,DEG325482,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l0jgqdppyzg83dtzkcxw",OT,ACT,69,1974-06-03,Vanderbilt
Alton Moore,Alton,Moore,,ARI,00-0021059,3999841,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vh5allpeysioyvm2o1dw",DE,RES,69,1979-11-11,Auburn
Amod Field,Amod,Field,,ARI,FIE115782,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rb34iauwhnhjrjf3si45",WR,CUT,0,1967-10-11,Montclair State College
Andre Baccellia,Andre,Baccellia,Andre,ARI,00-0035876,3886809,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uaqykjil87rj71rkyz70",WR,ACT,82,1997-01-07,Washington
Andre Chachere,Andre,Chachere,Andre,ARI,00-0034623,3125287,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viwncfdylftfzljv9phw",DB,ACT,,1996-02-10,San Jose State
Andre Hardy,Andre,Hardy,,ARI,00-0028843,14872,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/shzc8asllubuuv1hj5bm",TE,RSN,80,1987-03-18,California State-Fullerton
Andre Wadsworth,Andre,Wadsworth,,ARI,00-0016976,1441,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q3ffdd42voes3ylj9fpg",DE,ACT,90,1974-10-19,Florida State
Andre Waters,Andre,Waters,,ARI,00-0017285,6646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mcdpuuwjyzax8us1lpgg",DB,ACT,0,1962-03-10,University of Cheyney
Andrew Billings,Andrew,Billings,Andrew,ARI,00-0033066,3051775,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rfxthtnhruxgqnofnuzg",DT,ACT,,1995-06-03,Baylor
Andrew Rich,Andrew,Rich,,ARI,00-0028727,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pdjp9vxkmdahy092wt63",DB,NWT,38,1986-01-01,BYU
Andrew Wingard,Andrew,Wingard,Andrew,ARI,00-0035378,3918331,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vumoaka528nab6au7caj",DB,ACT,,1996-12-05,Wyoming
Andy Bowers,Andrew,Bowers,,ARI,00-0020012,3468,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zchugecflg0p7jroyu2x",DE,CUT,71,1976-02-22,Utah
Andy Lee,Andrew,Lee,Andy,ARI,00-0022824,5713,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",P,ACT,14,1982-08-11,Pittsburgh
Andy McCullough,Antwone,McCullough,,ARI,00-0010762,1587,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tnp1ugzwhggvkolc1tf5",WR,ACT,84,1975-11-11,Tennessee
Andy Schillinger,Andrew,Schillinger,,ARI,SCH180550,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6x48zihdcaueuvt8ysz",WR,ACT,0,1964-11-22,Miami (Ohio)
Angel Rubio,Angel,Rubio,,ARI,00-0014128,1601,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bzjm4e4g33r9pbictnfu",DE,ACT,78,1975-04-12,Southeast Missouri State
Angelo Blackson,Angelo,Blackson,Angelo,ARI,00-0032107,2574582,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fqkyimdahqjlnqu60zqf",DE,DEV,90,1992-11-14,Auburn
Anthony Denham,Anthony,Denham,Anthony,ARI,00-0031140,17392,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ztbqqqeotrx5s05b6xry",TE,NWT,0,1991-07-21,Utah; East Los Angeles College
Anthony Edwards,Anthony,Edwards,,ARI,00-0004745,6657,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/chltcquj2mhn8mfylrgc",WR,RES,83,1966-05-26,New Mexico Highlands Univ.
Anthony Gaitor,Anthony,Gaitor,,ARI,00-0028160,14148,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wju1q76hndhursuyielg",DB,CUT,0,1988-10-09,Florida International
Anthony McCloud,Anthony,McCloud,,ARI,00-0029932,16380,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dxfxw4vld4odtnb0ihd2",DT,DEV,0,1989-08-06,Florida State
Anthony White,Anthony,White,,ARI,00-0018980,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o7p8qerb9jzwrcfxvovw",RB,RES,30,1977-05-01,Kentucky
Antoine McClain,Antoine,McClain,Antoine,ARI,00-0029379,15533,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tsueqarooobi4iw34sk9",G,DEV,60,1989-12-06,Clemson
Antoine Wesley,Antoine,Wesley,Antoine,ARI,00-0035126,4043161,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qbvjkexq50bd0ik1get4",WR,RSR,13,1997-10-22,Texas Tech
Anton Palepoi,Anton,Palepoi,,ARI,00-0021188,3588,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fclqnal2nx7ledcazqq0",DE,ACT,70,1978-11-19,UNLV; Dixie College (UT)
Antonio Cochran,Antonio,Cochran,,ARI,00-0003161,1868,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jtuz3z8fmfk8qlx1pufj",DE,CUT,94,1976-06-21,Georgia; Middle Georgia College
Antwaun Woods,Antwaun,Woods,Antwaun,ARI,00-0032871,2577278,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qdd3dcj1cukyqvxzn1zx",DT,CUT,92,1993-01-03,USC
Arizona Cardinals D/ST,,,,ARI,DST_ARI,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&h=200&w=200,DST,Active,,,
Arnold Jackson,Arnold,Jackson,,ARI,00-0020018,2862,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zh4yytu5vqdct5rb5vef",WR,ACT,84,1977-04-09,Louisville
Arthur Moats,Arthur,Moats,Arthur,ARI,00-0027777,13422,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e8poi1eiwekisknibttd",DE,CUT,93,1988-03-14,James Madison
Auden Tate,Auden,Tate,Auden,ARI,00-0034686,3921564,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp64utjveglpbit53u3t",WR,DEV,,1997-02-03,Florida State
Austin Keys,Austin,Keys,Austin,ARI,00-0040501,4429185,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u4h08rpevr5barwyomuw",LB,ACT,,2002-04-03,Auburn; Mississippi
BJ Ojulari,Jamiu,Ojulari,B.J.,ARI,00-0039155,4429111,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yiulza2bhdta4aegzpnm",LB,ACT,9,2002-04-05,LSU
Bam Knight,Zonovan,Knight,Zonovan,ARI,00-0037157,4427728,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjxnlzlnnwlfqayeybut",RB,ACT,20,2001-04-11,N.C. State
Baron Browning,Baron,Browning,Baron,ARI,00-0036995,4241987,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nd86rlr1op1wgkbpfcxv",LB,ACT,5,1999-02-19,Ohio State
Barron Tanner,Barron,Tanner,,ARI,00-0016041,1361,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z8ydqlkw077fkyfzxbri",DT,ACT,92,1973-09-14,Oklahoma
Barry Word,Barry,Word,,ARI,00-0018247,6681,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jk7p0dttfmrmjjmvc7hq",RB,CUT,0,1963-01-17,Virginia
Bashaud Breeland,Bashaud,Breeland,Bashaud,ARI,00-0031052,16890,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wc7lhp4kgbjfcojfe2pi",CB,DEV,0,1992-01-30,Clemson
Ben Claxton,Ben,Claxton,,ARI,00-0022018,4615,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j7khutzphvqgxzh5yxsf",C,ACT,62,1980-07-30,Mississippi
Ben Patrick,Ben,Patrick,,ARI,00-0025602,10658,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aagqw67vfvcar52kxwlq",TE,ACT,89,1984-08-23,Delaware; Duke
Ben Smith,Benjamin,Smith,,ARI,SMI064960,6835,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nefidnpa8zmhuyctyima",DB,CUT,26,1967-05-14,Georgia
Bernard Wilson,Raphael,Wilson,,ARI,WIL774935,7483,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvvaaf7kldojqyrfclsp",DT,ACT,94,1970-08-17,Tennessee State
Bernhard Seikovits,Bernhard,Seikovits,Bernhard,ARI,00-0037020,4832523,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxycrw3lu1abbqa9bkgh",TE,DEV,80,1997-07-24,
Bertrand Berry,Bertrand,Berry,,ARI,00-0001176,1244,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/el1qocj9wnctldzgnjlz",OLB,ACT,92,1975-08-15,Notre Dame
Bhawoh Jue,Bhawoh,Jue,,ARI,00-0020367,2619,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eb4lx4sgutmbfni5a7rr",DB,ACT,34,1979-05-24,Penn State
Bilal Nichols,Bilal,Nichols,Bilal,ARI,00-0034387,3117922,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ukjuxv7bxvbfnciod79v",DT,UFA,92,1996-09-14,Delaware
Bill Conaty,William,Conaty,,ARI,00-0003356,1397,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/awkpuetoisytrvtnvsrf",C,RES,63,1973-03-08,Virginia Tech
Blaine Berger,Charles,Berger,,ARI,00-0001156,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilhe9d2bh1gnlk1yhtg2",DT,RES,90,1970-12-28,Utah
Blaine Clausell,Blaine,Clausell,Blaine,ARI,00-0031764,2516314,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a1kmyjeugtz0dtglvh04",OT,CUT,75,1992-01-31,Mississippi State
Blake DeChristopher,Blake,DeChristopher,,ARI,00-0029345,15513,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av2xcbdtwrlicwx8btze",OL,RES,0,1988-09-08,Virginia Tech
Blake Gillikin,Blake,Gillikin,Blake,ARI,00-0035859,4045180,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/idkikmdoy9mz7fw2dgl0",P,ACT,12,1998-01-21,Penn State
Bo Schobel,Robert,Schobel,,ARI,00-0022862,5628,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdkjzh7acsbaeml5auck",DE,ACT,95,1981-03-24,TCU
Bob Clasby,Robert,Clasby,,ARI,CLA685647,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nhttov5aizljhqx99hen",DE,ACT,0,1960-09-28,Notre Dame
Brad Badger,Bradley,Badger,,ARI,00-0000576,1319,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/babh1oqhyb91qvquddzz",G,CUT,67,1975-01-11,Stanford; Snow
Brad Ottis,Brad,Ottis,,ARI,00-0012446,660,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksmlerxj9xekpzdloiap",DE,ACT,96,1972-08-02,Wayne State College
Brandon Keith,Brandon,Keith,,ARI,00-0026365,11459,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yoshl19go0j6ge8bqqqh",OT,RES,72,1984-11-21,Northern Iowa; Oklahoma; Northeast Oklahoma
Brandon Moore,Brandon,Moore,,ARI,MOO197639,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ljkrzgvh2luuxx09mprk",OT,ACT,0,1970-06-21,Duke
Brandon Person,Brandon,Person,,ARI,00-0031990,3894940,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vz88vibly7wvm9sewf40",DB,RES,34,1991-08-09,Tiffin
Brandon Sharpe,Brandon,Sharpe,,ARI,00-0027544,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aenljqjucjgtukvkdzcc",DE,CUT,48,1986-12-11,Texas Tech
Brandon Wilds,Brandon,Wilds,Brandon,ARI,00-0032593,2577692,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pnkbbcmp3qmc3ncxfm7a",RB,DEV,0,1993-07-22,South Carolina
Brandon Williams,Brandon,Williams,,ARI,00-0027087,12748,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyhg2qhiozpzbcmttft9",LB,RES,59,1988-06-21,Texas Tech
Brian Bollinger,Brian,Bollinger,,ARI,00-0001440,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oa1cufhqmety6dgs0ltl",G,ACT,0,1968-11-21,North Carolina
Brian Dixon,Brian,Dixon,Brian,ARI,00-0030802,17139,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t8hqeggzauy2g9scp9ac",DB,ACT,37,1990-04-26,NW Missouri State University; Joliet Junior College
Brian Henesey,Brian,Henesey,,ARI,00-0007271,7726,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mcypzixnrhtdjtn99bat",RB,CUT,0,1969-12-10,Bucknell
Brian Leonhardt,Brian,Leonhardt,Brian,ARI,00-0029755,16265,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y3hzkmu0wiquabihuunn",TE,DEV,0,1990-04-02,Bemidji State University
Brian Winters,Brian,Winters,Brian,ARI,00-0030066,15879,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usbhho5ygjixpjdocdtn",G,CUT,65,1991-07-10,Kent State
Bronson Hill,Bronson,Hill,Bronson,ARI,00-0032298,2574474,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/plws0l63xcalmdkv9wwb",RB,ACT,48,1993-01-02,Eastern Michigan
Bruno Labelle,Bruno,Labelle,Bruno,ARI,00-0036808,4037485,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcdeij29qtcgbzwdjdl7",TE,CUT,35,1997-06-03,Cincinnati
Bryan Hooks,Bryan,Hooks,,ARI,00-0007702,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t3tg7tuwvjif2kx0sfiv",DT,CUT,0,1970-09-15,Arizona State
Bryan McCann,Bryan,McCann,,ARI,00-0027421,13609,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/veopdvvgde1anjtm6qlt",DB,ACT,23,1987-09-29,SMU
Bryan Reeves,Bryan,Reeves,,ARI,00-0013543,7725,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t95stfdjdkcuotguunbn",WR,CUT,0,1970-07-10,Nevada; Arizona State; El Camino
Bryan Robinson,Bryan,Robinson,,ARI,00-0013845,1349,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g9ctraze8tzjfcopbkra",NT,ACT,97,1974-06-22,Fresno State; College of the Desert CA (J.C.)
Bryson Albright,Bryson,Albright,Bryson,ARI,00-0032491,2978064,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlijcunmhmifyqdqhxcz",LB,ACT,54,1994-03-15,Miami (Ohio)
Bryson Green,Bryson,Green,Bryson,ARI,00-0040383,4432705,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vziqwhb29cvo7a09935x",WR,ACT,30,2002-12-30,Wisconsin; Oklahoma State
Budda Baker,Bishard,Baker,Budda,ARI,00-0033890,3127287,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ja3tkctpkfcschgpowoe",S,ACT,3,1996-01-10,Washington
Butch Rolle,Donald,Rolle,,ARI,00-0013992,6552,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yshs7yimhn93jojnpaij",TE,ACT,0,1964-08-19,Michigan State
Calais Campbell,Calais,Campbell,Calais,ARI,00-0026190,11284,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",DE,UFA,93,1986-09-01,Miami
Caleb Johnson,Caleb,Johnson,Caleb,ARI,00-0038499,4569383,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qi4qncj5o6zulgzikmkw",LB,CUT,,1998-07-14,Miami; UCLA
Cameron Spikes,Cameron,Spikes,,ARI,00-0015471,1898,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhnjbzlsm3jzdvlx19nz",G,ACT,76,1976-11-06,Texas A&M
Cariel Brooks,Cariel,Brooks,Cariel,ARI,00-0031700,3892576,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qno4ztlormb1hes9mfqu",DB,CUT,35,1991-04-24,Adams State College
Carl Hairston,Carl,Hairston,,ARI,HAI664464,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cf39ss7rswxfi78tx2nd",DT,ACT,0,1952-12-15,Maryland Univ. (Eastern Shore)
Carl Simpson,Carl,Simpson,,ARI,00-0014942,505,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpjzhjczupnjvqey4jdq",DT,ACT,78,1970-04-18,Florida State
Carlos Brooks,Carlos,Brooks,,ARI,00-0001830,7946,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cpteldhs0grtyzeyorqk",DB,ACT,0,1971-05-08,Bowling Green
Carlton Agudosi,Carlton,Agudosi,Carlton,ARI,00-0033599,2982809,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/idc2stgo1zgzsxqlm0uj",WR,NWT,19,1994-02-01,Rutgers
Carrington Byndom,Carrington,Byndom,Carrington,ARI,00-0031119,17385,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyebpymeufi63mqekwqp",DB,DEV,0,1992-07-07,Texas
Carson Palmer,Carson,Palmer,Carson,ARI,00-0021429,4459,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/belgna3tokxga0gjjmwk",QB,RES,3,1979-12-27,USC
Carson Strong,Carson,Strong,Carson,ARI,00-0037139,4361435,,QB,CUT,8,1999-09-14,Nevada
Carter O'Donnell,Carter,O'Donnell,Carter,ARI,00-0035853,4611135,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qxilgn3gnfnwxfoktpkx",G,RES,61,1998-12-23,Alberta (Canada)
Cary Blanchard,Robert,Blanchard,,ARI,00-0001343,370,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ab9nsu0dtddcgyukzsix",K,RES,15,1968-11-05,Oklahoma State
Casey Kreiter,Casey,Kreiter,Casey,ARI,00-0030957,17304,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wgpfei7r2zzbjqojtiu5",LS,ACT,,1990-08-13,Iowa
Cecil Gray,Cecil,Gray,,ARI,00-0006266,7134,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fa4mlpphdx24tyxmmocw",OT,ACT,0,1968-02-16,North Carolina
Cedric Davis,Cedric,Davis,,ARI,00-0003954,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nvhjfiilpwwukfdvwe9q",CB,RES,0,1972-09-07,Tennessee State
Cedric Oglesby,Cedric,Oglesby,,ARI,00-0019766,3512,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/grnh50gzy4v1bpwmneys",K,ACT,1,1977-07-26,South Carolina State
Cedric Smith,Cedric,Smith,,ARI,00-0015119,6704,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vku1qxplolhugyvwdqwg",FB,RES,45,1968-05-27,Florida
Chad Brown,Chadrick,Brown,,ARI,00-0001886,7430,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jnse4lsmeorfrxjeltbp",DE,ACT,0,1971-07-09,Mississippi
Chad Carpenter,Chad,Carpenter,,ARI,00-0002662,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zl1zvxbt1hi6sl379dmo",WR,RES,12,1973-07-17,Washington State
Chad May,Chad,May,,ARI,00-0010587,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nkkd4hhg78nywceekjig",QB,ACT,5,1971-09-28,Kansas State; California State-Fullerton
Chad Ryland,Chad,Ryland,Chad,ARI,00-0038567,4363538,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hqbrncv4ktphfcmkf23g",K,ACT,38,1999-10-15,Maryland; Eastern Michigan
Chansi Stuckey,Chansi,Stuckey,,ARI,00-0025622,10678,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/smitiykmbdjg63nwoizi",WR,ACT,17,1983-10-04,Clemson
Charles Clay,Charles,Clay,Charles,ARI,00-0028112,14145,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gbfhfjn5cxtou5aazegt",TE,ACT,85,1989-02-13,Tulsa
Charles Lee,Charles,Lee,,ARI,00-0019505,2373,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hede66ml5hvu2adkamfz",WR,CUT,82,1977-11-19,UCF
Charles Washington,Charles,Washington,Charles,ARI,00-0032560,2579163,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tdkgm2yjdrw67v41lyxr",DB,ACT,28,1993-03-10,Fresno State
Chester Taylor,Chester,Taylor,,ARI,00-0021314,3784,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ay2c42ghmrgmxqcdsmdi",RB,ACT,29,1979-09-22,Toledo
Chike Okeafor,Chikezie,Okeafor,,ARI,00-0012333,1842,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgc4iphsyzbexlwba53y",OLB,ACT,56,1976-03-27,Purdue
Chris Banjo,Christopher,Banjo,Chris,ARI,00-0029747,15782,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibqowvcvkzurwo95ukg9",DB,RES,31,1990-02-26,SMU
Chris Clemons,Christian,Clemons,Chris,ARI,00-0027115,12645,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iiodgd9qgyn4qhoythj9",DB,ACT,29,1985-09-15,Clemson
Chris Cooper,Chris,Cooper,,ARI,00-0020422,2733,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t2agh6lnxp1qtmokggl1",DE,ACT,93,1977-02-27,Nebraska-Omaha
Chris Gedney,Christopher,Gedney,,ARI,00-0005860,507,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fawt4mqabakxxzhjo6dz",TE,ACT,84,1970-08-09,Syracuse
Chris Hubert,Christopher,Hubert,Chris,ARI,00-0032815,2986501,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o85nxu3wqvzaikpndvho",WR,DEV,0,1993-05-08,Fayetteville State University
Chris Jacke,Christopher,Jacke,,ARI,00-0008080,48,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dojp0h6u98xtzovhbty6",K,ACT,13,1966-03-12,Texas-El Paso
Chris Johnson,Christopher,Johnson,Chris,ARI,00-0026164,11258,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryf9nc84eovvdbf0cz79",RB,CUT,23,1985-09-23,East Carolina
Chris Miller,Chris,Miller,Chris,ARI,00-0036060,4035402,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppxeyf80pzb4fjqz3i46",SAF,DEV,0,1997-10-06,Baylor
Chris Rainey,Christopher,Rainey,,ARI,00-0029140,14896,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhezdyvrfaxztxts3fty",RB,CUT,0,1988-03-02,Florida
Chris Swartz,Chris,Swartz,,ARI,00-0015956,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e0cr9rll8u3flcp5vjlo",QB,CUT,0,1968-03-24,Morehead State University
Chris Washington,Christopher,Washington,,ARI,WAS127782,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qtzshjnjdiubry6hba9r",LB,ACT,0,1962-03-06,Iowa State
Chris Wells,Chris,Wells,,ARI,00-0027007,12525,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bewuca7lpfeutnexr7kq",RB,ACT,26,1988-08-07,Ohio State
Chris Williams,Christopher,Williams,,ARI,WIL185782,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kyuqr1wyw7pnsoo1yhew",DT,ACT,0,1968-11-23,American International College
Christian Bryant,Christian,Bryant,Christian,ARI,00-0031397,16908,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hsoru7z0iflnc6mge1jo",DB,ACT,25,1992-03-21,Ohio State
Christian Jones,Christian,Jones,Christian,ARI,00-0039382,4362103,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ng0yp2qqasthmwcyomzn",OT,ACT,75,2000-05-12,Texas
Chuckie Johnson,Charles,Johnson,,ARI,JOH122749,7536,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vteufoqhqckgpictxoed",DT,ACT,0,1969-03-05,Auburn
